,selling_price,km_driven,engine,Automatic,Manual,Diesel,age
11178,2.5,84815.0,1364.0,0,1,1,11.0
11179,5.6,15000.0,1198.0,0,1,0,2.0
11180,3.5,50000.0,1120.0,0,1,1,8.0
11181,2.59,46967.0,1198.0,0,1,0,10.0
11182,4.5,40000.0,2179.0,0,1,1,11.0
11183,4.95,50000.0,1461.0,0,1,1,8.0
11184,3.89,40000.0,1591.0,0,1,0,10.0
11185,5.0,15000.0,1197.0,0,1,0,8.0
11186,7.25,14636.0,1496.0,0,1,0,5.0
11187,13.99,31111.0,1968.0,1,0,1,5.0
11188,3.8,20000.0,1198.0,0,1,0,4.0
11189,1.0,110000.0,796.0,0,1,0,10.0
11190,1.91,50000.0,1086.0,0,1,0,13.0
11191,3.4,70000.0,1248.0,0,1,1,9.0
11192,2.4,38225.0,1197.0,0,1,0,11.0
11193,8.3,18000.0,1197.0,1,0,0,5.0
11194,4.5,15000.0,1248.0,0,1,1,4.0
11195,2.85,33500.0,1198.0,0,1,0,8.0
11196,7.35,40000.0,1248.0,0,1,1,4.0
11197,2.5,17000.0,1199.0,0,1,0,7.0
11198,4.0,20000.0,1196.0,0,1,0,4.0
11199,8.75,56210.0,1498.0,0,1,1,7.0
11200,2.75,45000.0,1198.0,0,1,0,7.0
11201,0.75,11000.0,624.0,0,1,0,12.0
11202,3.99,65000.0,1248.0,0,1,1,6.0
11203,6.6,25000.0,1197.0,0,1,0,3.0
11204,6.0,44503.0,1199.0,0,1,0,4.0
11205,3.2,60000.0,998.0,0,1,0,5.0
